stage,rel,chi_12,chi_13,chi_23,omega_1,omega_2,chi_bb_11,chi_bb_22,chi_bb_12,pw_length,dist_mean,n_points,n_segments,gap_total,full_length,dist_max,dist_min,residual_rms,pca_span,n_branch,is_single,flag
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p001__om2_m0p001/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.001,-0.001,0.0,0.0,0.0,,,0,0,,,,,,,0,0,no_prewetting
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p01__om2_m0p01/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.01,-0.01,0.0,0.0,0.0,,,0,0,,,,,,,0,0,no_prewetting
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p02__om2_m0p02/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.02,-0.02,0.0,0.0,0.0,,,0,0,,,,,,,0,0,no_prewetting
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p04__om2_m0p04/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.04,-0.04,0.0,0.0,0.0,0.0334724,0.00263874,19,1,0.0,0.0334724,0.00309808,0.00240095,0.00010602,0.03346028,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p06__om2_m0p06/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.06,-0.06,0.0,0.0,0.0,0.06650331,0.00182431,78,1,0.0,0.06650331,0.00279759,0.00101832,0.00033384,0.06642295,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p08__om2_m0p08/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.08,-0.08,0.0,0.0,0.0,0.06549439,0.00098201,127,1,0.0,0.06549439,0.00201938,5.694e-05,0.00035157,0.0654355,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p1__om2_m0p1/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.1,-0.1,0.0,0.0,0.0,0.12790724,0.00098372,188,1,0.0,0.12790724,0.0024759,5.994e-05,0.00075516,0.12762431,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p3__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.3,-0.3,0.0,0.0,0.0,0.08958195,0.00422815,170,1,0.0,0.08958195,0.00962539,0.00013639,1.924e-05,0.08957956,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p44__om2_m0p44/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.44,-0.44,0.0,0.0,0.0,0.03191938,0.01008201,35,1,0.0,0.03191938,0.01510939,0.0002186,0.00010486,0.03189113,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p45__om2_m0p45/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.45,-0.45,0.0,0.0,0.0,0.02287768,0.01161458,23,1,0.0,0.02287768,0.01467147,0.00017712,9.182e-05,0.02285387,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p46__om2_m0p46/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.46,-0.46,0.0,0.0,0.0,0.02134746,0.01290927,16,1,0.0,0.02134746,0.01531379,0.00049814,8.273e-05,0.02132656,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p47__om2_m0p47/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.47,-0.47,0.0,0.0,0.0,0.02369164,0.01353933,11,1,0.0,0.02369164,0.01671469,0.00029185,0.0001167,0.02367937,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p48__om2_m0p48/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.48,-0.48,0.0,0.0,0.0,0.01677054,0.01281605,10,1,0.0,0.01677054,0.01651618,0.0001165,7.016e-05,0.01676464,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p49__om2_m0p49/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.49,-0.49,0.0,0.0,0.0,0.0132278,0.00964922,4,1,0.0,0.0132278,0.01312799,0.00071833,1.851e-05,0.01322641,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p5/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.5,0.0,0.0,0.0,0.01221054,0.00616815,2,1,0.0,0.01221054,0.01212715,0.00020915,0.0,0.01221054,1,1,
