lambda,prewetting_exists,n_points,n_segments,pw_length,dist_mean,dist_min,endpoint_1_phi1,endpoint_1_phi2,endpoint_2_phi1,endpoint_2_phi2,flag,rel
-0.5,1,2,1,0.01221054,0.00616815,0.00020915,0.07541279809425307,0.0001,0.07753862573426418,0.01212406015037594,,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p5/chibb11_0__chibb22_0__chibb12_0
-0.49,1,4,1,0.0132278,0.00964922,0.00071833,0.07630784426045363,0.0001,0.07860135658019249,0.013126065162907269,,chi12_0__chi13_2p8__chi23_0/om1_m0p49__om2_m0p49/chibb11_0__chibb22_0__chibb12_0
-0.48,1,10,1,0.01677054,0.01281605,0.0001165,0.0772044089512969,0.0001,0.07998127576034429,0.01663308270676692,,chi12_0__chi13_2p8__chi23_0/om1_m0p48__om2_m0p48/chibb11_0__chibb22_0__chibb12_0
-0.47,1,11,1,0.02369164,0.01353933,0.00029185,0.07810182976416703,0.0001,0.08176340852130327,0.023494627184568184,,chi12_0__chi13_2p8__chi23_0/om1_m0p47__om2_m0p47/chibb11_0__chibb22_0__chibb12_0
-0.46,1,16,1,0.02134746,0.01290927,0.00049814,0.07899981751097498,0.0001,0.08247190813162575,0.021142105263157896,,chi12_0__chi13_2p8__chi23_0/om1_m0p46__om2_m0p46/chibb11_0__chibb22_0__chibb12_0
-0.45,1,23,1,0.02287768,0.01161458,0.00017712,0.07989751959273615,0.0001,0.08364243412802316,0.022645112781954888,,chi12_0__chi13_2p8__chi23_0/om1_m0p45__om2_m0p45/chibb11_0__chibb22_0__chibb12_0
-0.44,1,35,1,0.03191938,0.01008201,0.0002186,0.08079402246896004,0.0001,0.08577142857142858,0.031600334850498735,,chi12_0__chi13_2p8__chi23_0/om1_m0p44__om2_m0p44/chibb11_0__chibb22_0__chibb12_0
-0.3,1,170,1,0.08958195,0.00422815,0.00013639,0.09218082492964831,0.0001,0.1108215538847118,0.0877186127444684,,chi12_0__chi13_2p8__chi23_0/om1_m0p3__om2_m0p3/chibb11_0__chibb22_0__chibb12_0
-0.1,1,188,1,0.12790724,0.00098372,5.994e-05,0.12315104370177864,0.08577142857142858,0.18016894153456353,0.2,,chi12_0__chi13_2p8__chi23_0/om1_m0p1__om2_m0p1/chibb11_0__chibb22_0__chibb12_0
-0.08,1,127,1,0.06549439,0.00098201,5.694e-05,0.14919416655029846,0.14388771929824562,0.18285752193772276,0.2,,chi12_0__chi13_2p8__chi23_0/om1_m0p08__om2_m0p08/chibb11_0__chibb22_0__chibb12_0
-0.06,1,78,1,0.06650331,0.00182431,0.00101832,0.14986195650033637,0.14338671679197995,0.1846188612972771,0.2,,chi12_0__chi13_2p8__chi23_0/om1_m0p06__om2_m0p06/chibb11_0__chibb22_0__chibb12_0
-0.04,1,19,1,0.0334724,0.00263874,0.00240095,0.1673724400804929,0.17244486215538848,0.18635485295386806,0.2,,chi12_0__chi13_2p8__chi23_0/om1_m0p04__om2_m0p04/chibb11_0__chibb22_0__chibb12_0
-0.02,0,0,0,,,,,,,,no_prewetting,chi12_0__chi13_2p8__chi23_0/om1_m0p02__om2_m0p02/chibb11_0__chibb22_0__chibb12_0
-0.01,0,0,0,,,,,,,,no_prewetting,chi12_0__chi13_2p8__chi23_0/om1_m0p01__om2_m0p01/chibb11_0__chibb22_0__chibb12_0
-0.001,0,0,0,,,,,,,,no_prewetting,chi12_0__chi13_2p8__chi23_0/om1_m0p001__om2_m0p001/chibb11_0__chibb22_0__chibb12_0
