point_id,phi1_inf,phi2_inf,guess,gamma,cs1,cs2,cs,phi1_0,phi2_0
A,0.12985964912280704,0.14731505515757057,lin_thin,-0.05504681963631188,0.13320962068864,0.19019715656529648,0.3234067772539365,0.17077745045607115,0.3697856488547976
A,0.12985964912280704,0.14731505515757057,lin_thick_0p09,-0.055046819636314144,0.13320961872091874,0.19019715446074562,0.32340677318166433,0.17077744948520276,0.3697856477499246
A,0.12985964912280704,0.14731505515757057,exp_thin,-0.05504681963643636,0.1332095134782322,0.19019704189978553,0.32340655537801777,0.1707773975535469,0.3697855886511327
A,0.12985964912280704,0.14731505515757057,exp_thick,-0.055046819636312215,0.13320962042552492,0.19019715628388498,0.32340677670940987,0.17077745032625424,0.36978564870706193
A,0.12985964912280704,0.14731505515757057,lin_bothup_0p09,-0.05504681963637578,0.1332095657155398,0.19019709776953855,0.32340666348507835,0.1707774233305676,0.36978561798558635
A,0.12985964912280704,0.14731505515757057,lin_bothup_0p3,-0.05504607031819036,0.3024871833730052,0.3695502567982781,0.6720374401712832,0.24123010562703504,0.44882584211229354
A,0.12985964912280704,0.14731505515757057,exp_bothup,-0.05504681963645142,0.13320950044854396,0.1901970279640404,0.3234065284125843,0.17077739112380816,0.36978558133404493
B,0.17995989974937346,0.1187894567264485,lin_thin,-0.028343002273458942,0.0813112205966462,0.11358388306349049,0.19489510366013668,0.18450242356818217,0.2867594916127059
B,0.17995989974937346,0.1187894567264485,lin_thick_0p09,-0.028343002273463515,0.08131121759918739,0.11358388034096221,0.1948950979401496,0.18450242206437908,0.2867594900837794
B,0.17995989974937346,0.1187894567264485,exp_thin,-0.028343002273458637,0.08131122077227917,0.1135838832230144,0.19489510399529358,0.18450242365631217,0.28675949170230675
B,0.17995989974937346,0.1187894567264485,exp_thick,-0.028343002273458547,0.08131122082414793,0.1135838832701266,0.19489510409427452,0.18450242368234793,0.28675949172877796
B,0.17995989974937346,0.1187894567264485,lin_bothup_0p09,-0.028343002273468393,0.0813112143503546,0.11358387739010253,0.19489509174045713,0.1845024204340115,0.28675948842618665
B,0.17995989974937346,0.1187894567264485,lin_bothup_0p3,-0.028342360618302635,0.43973057174167196,0.4393919394299384,0.8791225111716103,0.3127556704416528,0.4163839743544717
B,0.17995989974937346,0.1187894567264485,exp_bothup,-0.028343002273479002,0.08131120734965444,0.11358387103146438,0.1948950783811188,0.1845024169200867,0.28675948485360414
C,0.2,0.1141381198834435,lin_thin,-0.02103288444088252,0.0796047981870278,0.10744228513013261,0.1870470833171604,0.2002321001970926,0.27524710254651186
C,0.2,0.1141381198834435,lin_thick_0p09,-0.02103288444088506,0.07960479642751453,0.10744228360735046,0.18704708003486498,0.20023209934707864,0.27524710171306466
C,0.2,0.1141381198834435,exp_thin,-0.02103288444088222,0.07960479839743259,0.10744228531223,0.1870470837096626,0.2002321002987627,0.2752471026462001
C,0.2,0.1141381198834435,exp_thick,-0.021032884440881708,0.07960479871401237,0.10744228558621856,0.18704708430023093,0.200232100451738,0.275247102796195
C,0.2,0.1141381198834435,lin_bothup_0p09,-0.02103288444088191,0.0796047985794312,0.1074422854697439,0.18704708404917508,0.2002321003867244,0.2752471027324474
C,0.2,0.1141381198834435,lin_bothup_0p3,-0.021030828128966436,0.433111154778051,0.4152150509529679,0.8483262057310189,0.3237656532853524,0.3962710643675434
C,0.2,0.1141381198834435,exp_bothup,-0.021032884440887162,0.0796047950727394,0.10744228243483309,0.1870470775075725,0.20023209869222544,0.27524710107097106
