om1,om2,branch,row,tie_length,sigma,S_a,S_b,S_max
0.280000,-0.375000,0,0,0.28998355,0.01437364,nan,nan,inf
0.280000,-0.375000,0,6,0.28947583,0.01429709,nan,nan,inf
0.280000,-0.375000,0,12,0.28794923,0.01406862,nan,nan,inf
0.280000,-0.375000,0,18,0.28539324,0.01369173,0.00486449,-0.03224794,0.00486449
0.280000,-0.375000,0,24,0.28178957,0.01317221,0.00439726,-0.03074169,0.00439726
0.280000,-0.375000,0,30,0.27711100,0.01251813,0.00397984,-0.02901609,0.00397984
0.280000,-0.375000,0,37,0.27024262,0.01159871,0.00357204,-0.02676945,0.00357204
0.280000,-0.375000,0,43,0.26308614,0.01069097,0.00329574,-0.02467767,0.00329574
0.280000,-0.375000,0,49,0.25468178,0.00968827,0.00308674,-0.02246328,0.00308674
0.280000,-0.375000,0,55,0.24493114,0.00860748,0.00294047,-0.02015542,0.00294047
0.280000,-0.375000,0,61,0.23369991,0.00746756,0.00284821,-0.01778334,0.00284821
0.280000,-0.375000,0,67,0.22080086,0.00628986,0.00279629,-0.01537600,0.00279629
0.280000,-0.375000,0,74,0.20327745,0.00490034,0.00275681,-0.01255749,0.00275681
0.280000,-0.375000,0,80,0.18565118,0.00372786,nan,nan,inf
0.280000,-0.375000,0,86,0.16487260,0.00260747,nan,nan,inf
0.280000,-0.375000,0,92,0.13961075,0.00158104,nan,nan,inf
0.280000,-0.375000,0,98,0.10682088,0.00070726,nan,nan,inf
0.280000,-0.375000,0,105,0.01178110,0.00000095,nan,nan,inf
0.280000,-0.375000,0,111,0.00138604,0.00000000,nan,nan,inf
0.280000,-0.375000,0,117,0.00016307,0.00000000,nan,nan,inf
0.280000,-0.375000,1,2,0.28992716,0.01436512,nan,nan,inf
0.280000,-0.375000,1,8,0.28908054,0.01423769,nan,nan,inf
0.280000,-0.375000,1,14,0.28721234,0.01395924,nan,nan,inf
0.280000,-0.375000,1,21,0.28372383,0.01344935,nan,nan,inf
0.280000,-0.375000,1,27,0.27958675,0.01286140,nan,nan,inf
0.280000,-0.375000,1,33,0.27435723,0.01214373,nan,nan,inf
0.280000,-0.375000,1,39,0.26799084,0.01130763,nan,nan,inf
0.280000,-0.375000,1,45,0.26042759,0.01036650,nan,nan,inf
0.280000,-0.375000,1,52,0.24998214,0.00915650,nan,nan,inf
0.280000,-0.375000,1,58,0.23951079,0.00804363,nan,nan,inf
0.280000,-0.375000,1,64,0.22747331,0.00688200,nan,nan,inf
0.280000,-0.375000,1,70,0.21364608,0.00569422,nan,nan,inf
0.280000,-0.375000,1,76,0.19770017,0.00450592,nan,nan,inf
0.280000,-0.375000,1,82,0.17912331,0.00334676,nan,nan,inf
0.280000,-0.375000,1,89,0.15292772,0.00207940,nan,nan,inf
0.280000,-0.375000,1,95,0.12449205,0.00112027,nan,nan,inf
0.280000,-0.375000,1,101,0.04906749,0.00006845,nan,nan,inf
0.280000,-0.375000,1,107,0.00577274,0.00000011,nan,nan,inf
0.280000,-0.375000,1,113,0.00067916,0.00000000,nan,nan,inf
0.280000,-0.375000,1,120,0.00010000,0.00000000,nan,nan,inf
0.140000,-0.187500,0,0,0.28998355,0.01437364,-0.00380798,-0.02493929,-0.00380798
0.140000,-0.187500,0,6,0.28947583,0.01429709,-0.00424759,-0.02434658,-0.00424759
0.140000,-0.187500,0,12,0.28794923,0.01406862,-0.00457522,-0.02356202,-0.00457522
0.140000,-0.187500,0,18,0.28539324,0.01369173,-0.00478671,-0.02259674,-0.00478671
0.140000,-0.187500,0,24,0.28178957,0.01317221,-0.00488055,-0.02146387,-0.00488055
0.140000,-0.187500,0,30,0.27711100,0.01251813,-0.00485781,-0.02017845,-0.00485781
0.140000,-0.187500,0,37,0.27024262,0.01159871,-0.00468882,-0.01850859,-0.00468882
0.140000,-0.187500,0,43,0.26308614,0.01069097,-0.00442902,-0.01695291,-0.00442902
0.140000,-0.187500,0,49,0.25468178,0.00968827,-0.00407238,-0.01530416,-0.00407238
0.140000,-0.187500,0,55,0.24493114,0.00860748,-0.00363022,-0.01358474,-0.00363022
0.140000,-0.187500,0,61,0.23369991,0.00746756,-0.00311638,-0.01181875,-0.00311638
0.140000,-0.187500,0,67,0.22080086,0.00628986,-0.00254744,-0.01003227,-0.00254744
0.140000,-0.187500,0,74,0.20327745,0.00490034,-0.00184059,-0.00796009,-0.00184059
0.140000,-0.187500,0,80,0.18565118,0.00372786,-0.00122542,-0.00623031,-0.00122542
0.140000,-0.187500,0,86,0.16487260,0.00260747,-0.00063375,-0.00458118,-0.00063375
0.140000,-0.187500,0,92,0.13961075,0.00158104,-0.00010702,-0.00305506,-0.00010702
0.140000,-0.187500,0,98,0.10682088,0.00070726,0.00028830,-0.00170282,0.00028830
0.140000,-0.187500,0,105,0.01178110,0.00000095,nan,nan,inf
0.140000,-0.187500,0,111,0.00138604,0.00000000,nan,nan,inf
0.140000,-0.187500,0,117,0.00016307,0.00000000,nan,nan,inf
0.140000,-0.187500,1,2,0.28992716,0.01436512,-0.00363766,-0.02509258,-0.00363766
0.140000,-0.187500,1,8,0.28908054,0.01423769,-0.00305987,-0.02541551,-0.00305987
0.140000,-0.187500,1,14,0.28721234,0.01395924,-0.00239041,-0.02552807,-0.00239041
0.140000,-0.187500,1,21,0.28372383,0.01344935,-0.00151178,-0.02538691,-0.00151178
0.140000,-0.187500,1,27,0.27958675,0.01286140,-0.00069454,-0.02502827,-0.00069454
0.140000,-0.187500,1,33,0.27435723,0.01214373,0.00015967,-0.02444714,0.00015967
0.140000,-0.187500,1,39,0.26799084,0.01130763,0.00102454,-0.02363980,0.00102454
0.140000,-0.187500,1,45,0.26042759,0.01036650,0.00186554,-0.02259854,0.00186554
0.140000,-0.187500,1,52,0.24998214,0.00915650,0.00274042,-0.02105343,0.00274042
0.140000,-0.187500,1,58,0.23951079,0.00804363,nan,nan,inf
0.140000,-0.187500,1,64,0.22747331,0.00688200,nan,nan,inf
0.140000,-0.187500,1,70,0.21364608,0.00569422,nan,nan,inf
0.140000,-0.187500,1,76,0.19770017,0.00450592,nan,nan,inf
0.140000,-0.187500,1,82,0.17912331,0.00334676,nan,nan,inf
0.140000,-0.187500,1,89,0.15292772,0.00207940,nan,nan,inf
0.140000,-0.187500,1,95,0.12449205,0.00112027,nan,nan,inf
0.140000,-0.187500,1,101,0.04906749,0.00006845,nan,nan,inf
0.140000,-0.187500,1,107,0.00577274,0.00000011,nan,nan,inf
0.140000,-0.187500,1,113,0.00067916,0.00000000,nan,nan,inf
0.140000,-0.187500,1,120,0.00010000,0.00000000,0.00000065,-0.00000065,0.00000065
0.070000,-0.093750,0,0,0.28998355,0.01437364,-0.00925971,-0.01948756,-0.00925971
0.070000,-0.093750,0,6,0.28947583,0.01429709,-0.00946533,-0.01912885,-0.00946533
0.070000,-0.093750,0,12,0.28794923,0.01406862,-0.00953552,-0.01860171,-0.00953552
0.070000,-0.093750,0,18,0.28539324,0.01369173,-0.00947015,-0.01791330,-0.00947015
0.070000,-0.093750,0,24,0.28178957,0.01317221,-0.00927151,-0.01707292,-0.00927151
0.070000,-0.093750,0,30,0.27711100,0.01251813,-0.00894424,-0.01609201,-0.00894424
0.070000,-0.093750,0,37,0.27024262,0.01159871,-0.00840931,-0.01478810,-0.00840931
0.070000,-0.093750,0,43,0.26308614,0.01069097,-0.00783035,-0.01355158,-0.00783035
0.070000,-0.093750,0,49,0.25468178,0.00968827,-0.00715263,-0.01222392,-0.00715263
0.070000,-0.093750,0,55,0.24493114,0.00860748,-0.00639022,-0.01082473,-0.00639022
0.070000,-0.093750,0,61,0.23369991,0.00746756,-0.00555952,-0.00937561,-0.00555952
0.070000,-0.093750,0,67,0.22080086,0.00628986,-0.00467937,-0.00790034,-0.00467937
0.070000,-0.093750,0,74,0.20327745,0.00490034,-0.00361917,-0.00618152,-0.00361917
0.070000,-0.093750,0,80,0.18565118,0.00372786,-0.00271114,-0.00474458,-0.00271114
0.070000,-0.093750,0,86,0.16487260,0.00260747,-0.00183660,-0.00337834,-0.00183660
0.070000,-0.093750,0,92,0.13961075,0.00158104,-0.00103568,-0.00212639,-0.00103568
0.070000,-0.093750,0,98,0.10682088,0.00070726,-0.00036664,-0.00104788,-0.00036664
0.070000,-0.093750,0,105,0.01178110,0.00000095,nan,nan,inf
0.070000,-0.093750,0,111,0.00138604,0.00000000,nan,nan,inf
0.070000,-0.093750,0,117,0.00016307,0.00000000,nan,nan,inf
0.070000,-0.093750,1,2,0.28992716,0.01436512,-0.00916146,-0.01956879,-0.00916146
0.070000,-0.093750,1,8,0.28908054,0.01423769,-0.00877973,-0.01969564,-0.00877973
0.070000,-0.093750,1,14,0.28721234,0.01395924,-0.00827247,-0.01964601,-0.00827247
0.070000,-0.093750,1,21,0.28372383,0.01344935,-0.00753324,-0.01936545,-0.00753324
0.070000,-0.093750,1,27,0.27958675,0.01286140,-0.00678584,-0.01893696,-0.00678584
0.070000,-0.093750,1,33,0.27435723,0.01214373,-0.00594776,-0.01833970,-0.00594776
0.070000,-0.093750,1,39,0.26799084,0.01130763,-0.00503520,-0.01758006,-0.00503520
0.070000,-0.093750,1,45,0.26042759,0.01036650,-0.00406705,-0.01666595,-0.00406705
0.070000,-0.093750,1,52,0.24998214,0.00915650,-0.00289658,-0.01541643,-0.00289658
0.070000,-0.093750,1,58,0.23951079,0.00804363,-0.00188761,-0.01419966,-0.00188761
0.070000,-0.093750,1,64,0.22747331,0.00688200,-0.00090586,-0.01285815,-0.00090586
0.070000,-0.093750,1,70,0.21364608,0.00569422,0.00000976,-0.01139820,0.00000976
0.070000,-0.093750,1,76,0.19770017,0.00450592,0.00080361,-0.00981545,0.00080361
0.070000,-0.093750,1,82,0.17912331,0.00334676,nan,nan,inf
0.070000,-0.093750,1,89,0.15292772,0.00207940,nan,nan,inf
0.070000,-0.093750,1,95,0.12449205,0.00112027,nan,nan,inf
0.070000,-0.093750,1,101,0.04906749,0.00006845,nan,nan,inf
0.070000,-0.093750,1,107,0.00577274,0.00000011,nan,nan,inf
0.070000,-0.093750,1,113,0.00067916,0.00000000,nan,nan,inf
0.070000,-0.093750,1,120,0.00010000,0.00000000,nan,nan,inf
0.035000,-0.046875,0,0,0.28998355,0.01437364,-0.01187353,-0.01687375,-0.01187353
0.035000,-0.046875,0,6,0.28947583,0.01429709,-0.01194271,-0.01665147,-0.01194271
0.035000,-0.046875,0,12,0.28794923,0.01406862,-0.01186750,-0.01626974,-0.01186750
0.035000,-0.046875,0,18,0.28539324,0.01369173,-0.01164958,-0.01573387,-0.01164958
0.035000,-0.046875,0,24,0.28178957,0.01317221,-0.01129301,-0.01505142,-0.01129301
0.035000,-0.046875,0,30,0.27711100,0.01251813,-0.01080415,-0.01423210,-0.01080415
0.035000,-0.046875,0,37,0.27024262,0.01159871,-0.01007823,-0.01311918,-0.01007823
0.035000,-0.046875,0,43,0.26308614,0.01069097,-0.00933522,-0.01204671,-0.00933522
0.035000,-0.046875,0,49,0.25468178,0.00968827,-0.00849467,-0.01088188,-0.00849467
