loop_index,branch,row,phi1,phi2,phi1_conj,phi2_conj,gamma,gamma_conj,sigma,delta,thin_ok,reason,n_states,n_uncoated,from_guess,max_dev,cs_total,gamma_coated
0,0,0,0.14747533,0.14747533,0.35252467,0.35252467,nan,-0.06751755,0.01437364,nan,0,coated,1,0,,nan,nan,-0.05307294
1,0,1,0.14833367,0.14663001,0.35366916,0.35137283,nan,-0.06675204,0.01437151,nan,0,coated,1,0,,nan,nan,-0.05230972
2,0,2,0.14920509,0.14579766,0.35480627,0.35021370,nan,-0.06598594,0.01436512,nan,0,coated,1,0,,nan,nan,-0.05155013
3,0,3,0.15008964,0.14497822,0.35593592,0.34904733,nan,-0.06521929,0.01435448,nan,0,coated,1,0,,nan,nan,-0.05079421
4,0,4,0.15098737,0.14417165,0.35705805,0.34787377,nan,-0.06445211,0.01433959,nan,0,coated,1,0,,nan,nan,-0.05004198
5,0,5,0.15189834,0.14337790,0.35817262,0.34669306,nan,-0.06368444,0.01432046,nan,0,coated,1,0,,nan,nan,-0.04929346
6,0,6,0.15282263,0.14259692,0.35927956,0.34550526,nan,-0.06291630,0.01429709,nan,0,coated,1,0,,nan,nan,-0.04854867
7,0,7,0.15376027,0.14182867,0.36037879,0.34431039,nan,-0.06214772,0.01426949,nan,0,coated,1,0,,nan,nan,-0.04780763
8,0,8,0.15471134,0.14107310,0.36147027,0.34310851,nan,-0.06137873,0.01423769,nan,0,coated,1,0,,nan,nan,-0.04707037
9,0,9,0.15567591,0.14033017,0.36255391,0.34189965,nan,-0.06060936,0.01420168,nan,0,coated,1,0,,nan,nan,-0.04633688
10,0,10,0.15665403,0.13959984,0.36362965,0.34068385,nan,-0.05983964,0.01416149,nan,0,coated,1,0,,nan,nan,-0.04560719
11,0,11,0.15764578,0.13888207,0.36469742,0.33946113,nan,-0.05906960,0.01411713,nan,0,coated,1,0,,nan,nan,-0.04488131
12,0,12,0.15865121,0.13817681,0.36575714,0.33823154,nan,-0.05829926,0.01406862,nan,0,coated,1,0,,nan,nan,-0.04415925
13,0,13,0.15967042,0.13748405,0.36680874,0.33699511,nan,-0.05752865,0.01401598,nan,0,coated,1,0,,nan,nan,-0.04344101
14,0,14,0.16070345,0.13680373,0.36785213,0.33575185,nan,-0.05675780,0.01395924,nan,0,coated,1,0,,nan,nan,-0.04272660
15,0,15,0.16175039,0.13613583,0.36888724,0.33450180,-0.03698040,-0.05598674,0.01389841,0.00510793,1,,2,1,lin_thin,0.18684388,0.25921468,-0.04201602
16,0,16,0.16281132,0.13548032,0.36991398,0.33324498,-0.03635516,-0.05521550,0.01383354,0.00502680,1,,2,1,lin_thin,0.18273366,0.24547762,-0.04130927
17,0,17,0.16388630,0.13483716,0.37093227,0.33198141,-0.03573398,-0.05444410,0.01376463,0.00494549,1,,2,1,lin_thin,0.17967010,0.23551825,-0.04060636
18,0,18,0.16497542,0.13420633,0.37194202,0.33071111,-0.03511636,-0.05367257,0.01369173,0.00486449,1,,2,1,lin_thin,0.17712433,0.22740969,-0.03990727
