stage,rel,chi_12,chi_13,chi_23,omega_1,omega_2,chi_bb_11,chi_bb_22,chi_bb_12,pw_length,dist_mean,n_points,n_segments,gap_total,full_length,dist_max,dist_min,residual_rms,pca_span,n_branch,is_single,flag
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.3,0.0,0.0,0.0,0.07866689,0.0059283,52,1,0.0,0.07866689,0.01237692,0.00274241,0.00026808,0.07657866,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p32/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.32,0.0,0.0,0.0,0.07897857,0.00587415,52,1,0.0,0.07897857,0.01237342,0.00267621,0.00016832,0.07768205,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p34/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.34,0.0,0.0,0.0,0.07769595,0.00558823,49,1,0.0,0.07769595,0.01236959,0.00260629,0.00014772,0.07665531,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p36/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.36,0.0,0.0,0.0,0.0688462,0.00530488,46,1,0.0,0.0688462,0.01236543,0.00253244,8.695e-05,0.06875237,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p38/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.38,0.0,0.0,0.0,0.07186606,0.00508385,46,1,0.0,0.07186606,0.01236093,0.0011366,0.0005773,0.06789074,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p4/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.4,0.0,0.0,0.0,0.06959203,0.00497106,45,1,0.0,0.06959203,0.01235606,0.00237212,0.0003837,0.06696258,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p42/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.42,0.0,0.0,0.0,0.06765554,0.00477831,43,1,0.0,0.06765554,0.0123508,0.00228517,0.00026868,0.06586435,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p44/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.44,0.0,0.0,0.0,0.05921223,0.00454831,40,1,0.0,0.05921223,0.01234515,0.00219337,0.00019302,0.05803277,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p46/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.46,0.0,0.0,0.0,0.05808839,0.00439601,39,1,0.0,0.05808839,0.01233908,0.00210259,0.00016681,0.05708945,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p48/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.48,0.0,0.0,0.0,0.05619535,0.00425952,36,1,0.0,0.05619535,0.01233255,0.0020156,0.00011818,0.05610103,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p32__om2_m0p5/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.32,-0.5,0.0,0.0,0.0,0.05513148,0.00425989,30,1,0.0,0.05513148,0.01232554,0.00192423,0.0001286,0.05507061,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.3,0.0,0.0,0.0,0.07382922,0.00732006,48,1,0.0,0.07382922,0.01307462,0.00354798,0.00055467,0.06992881,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p32/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.32,0.0,0.0,0.0,0.07165837,0.00717806,46,1,0.0,0.07165837,0.01307003,0.0042436,0.00036314,0.06915357,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p34/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.34,0.0,0.0,0.0,0.07007122,0.00696391,44,1,0.0,0.07007122,0.01306502,0.00416954,0.00025774,0.06827336,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p36/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.36,0.0,0.0,0.0,0.06077244,0.00669125,41,1,0.0,0.06077244,0.01305958,0.00409144,0.00018927,0.05971858,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p38/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.38,0.0,0.0,0.0,0.05897796,0.00646274,38,1,0.0,0.05897796,0.0130537,0.00400908,0.00012606,0.05884338,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p4/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.4,0.0,0.0,0.0,0.05811746,0.00635881,38,1,0.0,0.05811746,0.01304735,0.00392224,0.0001126,0.05801543,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p42/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.42,0.0,0.0,0.0,0.0571911,0.00621916,37,1,0.0,0.0571911,0.01304052,0.00383068,0.00010655,0.05712023,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p44/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.44,0.0,0.0,0.0,0.05479375,0.00603056,33,1,0.0,0.05479375,0.01303317,0.00373412,0.00010133,0.05477402,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p46/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.46,0.0,0.0,0.0,0.05484815,0.00590865,32,1,0.0,0.05484815,0.01302529,0.00363228,0.00012226,0.05482367,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p48/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.48,0.0,0.0,0.0,0.04260576,0.00570298,30,1,0.0,0.04260576,0.01301685,0.00352483,0.00011996,0.04257841,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p34__om2_m0p5/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.34,-0.5,0.0,0.0,0.0,0.04832032,0.00551166,31,1,0.0,0.04832032,0.01300782,0.00287247,0.00042659,0.04588229,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.3,0.0,0.0,0.0,0.06087801,0.00869514,40,1,0.0,0.06087801,0.01396658,0.00600833,0.00015472,0.06016476,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p32/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.32,0.0,0.0,0.0,0.05950302,0.00850321,38,1,0.0,0.05950302,0.01396106,0.0059375,9.871e-05,0.05941738,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p34/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.34,0.0,0.0,0.0,0.05865997,0.00836839,37,1,0.0,0.05865997,0.01395507,0.00586299,8.664e-05,0.05859871,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p36/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.36,0.0,0.0,0.0,0.05581375,0.00816257,35,1,0.0,0.05581375,0.01394856,0.00578465,7.565e-05,0.05580158,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p38/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.38,0.0,0.0,0.0,0.05705964,0.00814015,36,1,0.0,0.05705964,0.01394153,0.00570233,9.645e-05,0.05702807,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p4/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.4,0.0,0.0,0.0,0.05596416,0.00789642,33,1,0.0,0.05596416,0.01393395,0.00561586,0.00010703,0.05594746,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p42/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.42,0.0,0.0,0.0,0.04964627,0.00763511,33,1,0.0,0.04964627,0.0139258,0.00493903,0.00044866,0.04702945,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p44/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.44,0.0,0.0,0.0,0.04800712,0.00753534,32,1,0.0,0.04800712,0.01391706,0.00542972,0.00030927,0.04615559,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p46/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.46,0.0,0.0,0.0,0.0459156,0.00739055,29,1,0.0,0.0459156,0.0139077,0.00532964,0.00023097,0.04525961,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p48/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.48,0.0,0.0,0.0,0.04451662,0.00729214,28,1,0.0,0.04451662,0.01389769,0.0052246,0.00014984,0.04440349,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p36__om2_m0p5/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.36,-0.5,0.0,0.0,0.0,0.0435706,0.00718368,27,1,0.0,0.0435706,0.01388702,0.00511433,0.00015059,0.04348307,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.3,0.0,0.0,0.0,0.05812026,0.01031203,36,1,0.0,0.05812026,0.0150279,0.00779878,6.242e-05,0.05810069,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p32/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.32,0.0,0.0,0.0,0.05710205,0.01003901,33,1,0.0,0.05710205,0.01502167,0.00772557,7.152e-05,0.0570949,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p34/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.34,0.0,0.0,0.0,0.04356093,0.00984128,32,1,0.0,0.04356093,0.01501489,0.00764858,7.343e-05,0.04355224,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p36/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.36,0.0,0.0,0.0,0.05820351,0.0098123,34,1,0.0,0.05820351,0.01500754,0.00744286,0.00042159,0.05578431,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p38/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.38,0.0,0.0,0.0,0.04766784,0.00960357,32,1,0.0,0.04766784,0.01499962,0.00748268,0.00028307,0.04600683,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p4/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.4,0.0,0.0,0.0,0.04575925,0.0094377,29,1,0.0,0.04575925,0.01499108,0.00739341,0.00021186,0.04520346,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p42/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.42,0.0,0.0,0.0,0.04451703,0.0093092,27,1,0.0,0.04451703,0.01498192,0.00730495,0.00014381,0.04440558,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p44/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.44,0.0,0.0,0.0,0.0436172,0.00921123,26,1,0.0,0.0436172,0.01497211,0.00721292,0.00013367,0.0435359,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p46/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.46,0.0,0.0,0.0,0.04062926,0.00905397,25,1,0.0,0.04062926,0.01496161,0.00711677,0.00011253,0.04060393,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p48/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.48,0.0,0.0,0.0,0.04088842,0.00896089,24,1,0.0,0.04088842,0.01495042,0.00701637,0.0001342,0.04085769,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p38__om2_m0p5/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.38,-0.5,0.0,0.0,0.0,0.02881443,0.00905439,18,1,0.0,0.02881443,0.0149385,0.00691158,0.00013725,0.02878143,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p3__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.3,-0.3,0.0,0.0,0.0,0.10067918,0.00503257,221,1,0.0,0.10067918,0.01187979,0.00095314,0.00037665,0.08880012,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p3__om2_m0p32/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.3,-0.32,0.0,0.0,0.0,0.09985859,0.00479408,216,1,0.0,0.09985859,0.01187751,0.00112786,0.00045646,0.08595513,1,1,
